repository,url,description,created_date,last_modified,stars,forks,solution_type,solution_marketing,technical_competencies,solution_competencies,deployment_tools,deployment_level,primary_language,additional_languages,frameworks,aws_services,prerequisites,license,copyright_holder,commercial_use,setup_time,cost_range,customer_problems,usp,freshness_status,days_since_update,genai_agentic,topics,classification_method,classification_timestamp
awslabs/amazon-kinesis-client-nodejs,https://github.com/awslabs/amazon-kinesis-client-nodejs,Amazon Kinesis Client Library for Node.js ,2015-03-10T23:35:26Z,2025-10-01T21:12:14Z,305,203,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,JavaScript,"TypeScript, Python",AWS SDK,Kinesis,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,22,No,,S3-Based Complete Analysis,2025-10-24T13:21:57.030888
awslabs/aws-js-s3-explorer,https://github.com/awslabs/aws-js-s3-explorer,AWS JavaScript S3 Explorer is a JavaScript application that uses AWS's JavaScript SDK and S3 APIs to make the contents of an S3 bucket easy to browse via a web browser. ,2015-03-12T23:49:39Z,2025-10-23T14:41:42Z,854,288,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,HTML,"Python, JavaScript",AWS SDK,S3,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,0,No,,S3-Based Complete Analysis,2025-10-24T13:21:57.030957
awslabs/ecs-task-kite,https://github.com/awslabs/ecs-task-kite,ECS Task Kite - A simple ambassador container for inter-task communication on ECS - http://aws.amazon.com/ecs/ ,2015-03-30T04:33:35Z,2024-03-22T04:46:20Z,61,19,Innovation Catalysts,innovation,"Machine Learning, Data & Analytics",Cross-Industry,"CloudFormation, Scripts",Basic Setup,Go,"Python, JavaScript",AWS SDK,ECS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Minimal (< $10/month),"AI Implementation Complexity, Slow Time-to-Market, Competitive Disadvantage",Reliable AWS solution,Stale,581,Yes,,S3-Based Complete Analysis,2025-10-24T13:21:57.031002
awslabs/amazon-kinesis-client-net,https://github.com/awslabs/amazon-kinesis-client-net,This package provides an interface to the Amazon Kinesis Client Library (KCL) MultiLangDaemon for the .NET Framework.,2015-04-17T16:54:14Z,2025-10-02T00:52:43Z,64,68,Foundation Builders,foundation,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,C#,"Python, JavaScript",AWS SDK,Kinesis,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,22,No,,S3-Based Complete Analysis,2025-10-24T13:21:57.031048
awslabs/amazon-kinesis-producer,https://github.com/awslabs/amazon-kinesis-producer,Amazon Kinesis Producer Library,2015-05-26T20:37:52Z,2025-09-25T23:12:10Z,411,342,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,C++,"Python, JavaScript",AWS SDK,Kinesis,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,28,No,,S3-Based Complete Analysis,2025-10-24T13:21:57.031091
awslabs/aws-device-farm-jenkins-plugin,https://github.com/awslabs/aws-device-farm-jenkins-plugin,Jenkins plugin for AWS Device Farm. ,2015-06-30T05:11:14Z,2025-08-13T11:13:36Z,89,67,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Java,"Python, Shell",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,72,No,,S3-Based Complete Analysis,2025-10-24T13:21:57.031134
awslabs/aws-codepipeline-custom-job-worker,https://github.com/awslabs/aws-codepipeline-custom-job-worker,"Use this sample to help you develop your own job worker when creating a custom action for AWS CodePipeline. For more information, see Create a Custom Action for a Pipeline. http://docs.aws.amazon.com/codepipeline/latest/userguide/how-to-create-custom-action.html",2015-07-06T20:09:40Z,2024-10-04T21:35:41Z,32,22,Innovation Catalysts,innovation,"Machine Learning, Data & Analytics",Cross-Industry,"CloudFormation, Scripts",Basic Setup,Java,"Python, Shell",AWS SAM,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"AI Implementation Complexity, Slow Time-to-Market, Competitive Disadvantage",Reliable AWS solution,Stale,384,Yes,,S3-Based Complete Analysis,2025-10-24T13:21:57.031191
awslabs/aws-codepipeline-plugin-for-jenkins,https://github.com/awslabs/aws-codepipeline-plugin-for-jenkins,"Use this plugin to integrate your Jenkins project with a pipeline in AWS CodePipeline. For more information and step-by-step directions on how to install and configure this plugin, follow the Four Stage Pipeline Tutorial. http://docs.aws.amazon.com/codepipeline/latest/userguide/getting-started-4.html",2015-07-06T20:12:15Z,2025-08-13T11:13:38Z,83,71,Innovation Catalysts,setup,"Machine Learning, Data & Analytics",Cross-Industry,"CloudFormation, Scripts",Basic Setup,Java,"Python, Shell",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"AI Implementation Complexity, Slow Time-to-Market, Competitive Disadvantage",Reliable AWS solution,Active,72,Yes,,S3-Based Complete Analysis,2025-10-24T13:21:57.031236
awslabs/AWSCodePipeline-Jenkins-AWSCodeDeploy_Windows,https://github.com/awslabs/AWSCodePipeline-Jenkins-AWSCodeDeploy_Windows,Use this sample when creating a four-stage pipeline in AWS CodePipeline while following the Four Stage Pipeline Tutorial. http://docs.aws.amazon.com/codepipeline/latest/userguide/getting-started-4.html,2015-07-06T20:16:54Z,2024-08-11T08:12:06Z,15,281,Innovation Catalysts,setup,"Machine Learning, Data & Analytics",Cross-Industry,"CloudFormation, Scripts",Basic Setup,Ruby,"Python, JavaScript",AWS SAM,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"AI Implementation Complexity, Slow Time-to-Market, Competitive Disadvantage",Reliable AWS solution,Stale,439,Yes,,S3-Based Complete Analysis,2025-10-24T13:21:57.031266
awslabs/aws-codepipeline-jenkins-aws-codedeploy_linux,https://github.com/awslabs/aws-codepipeline-jenkins-aws-codedeploy_linux,Use this sample when creating a four-stage pipeline in AWS CodePipeline while following the Four Stage Pipeline Tutorial. http://docs.aws.amazon.com/codepipeline/latest/userguide/getting-started-4.html,2015-07-06T20:17:43Z,2025-08-23T03:41:59Z,51,1434,Innovation Catalysts,setup,"Machine Learning, Data & Analytics",Cross-Industry,"CloudFormation, Scripts",Basic Setup,Ruby,"Python, JavaScript",AWS SAM,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"AI Implementation Complexity, Slow Time-to-Market, Competitive Disadvantage",Reliable AWS solution,Active,62,Yes,,S3-Based Complete Analysis,2025-10-24T13:21:57.031293
