repository,url,description,created_date,last_modified,stars,forks,aws_services,topics,solution_type,competency,customer_problems,solution_marketing,deployment_tools,deployment_level,deployment_readiness,primary_language,secondary_language,framework,cost_range,setup_time,business_value,target_audience,use_case_category,integration_complexity,maintenance_level,scalability,usp,freshness_status,days_since_update,genai_agentic,classification_method,classification_timestamp
"aws-samples/aws-cdk-examples","https://github.com/aws-samples/aws-cdk-examples","Example projects using the AWS CDK","2019-02-01T23:16:42Z","2025-10-24T02:33:36Z","5496","2295","CDK","cdk; cdk-examples","Quick Wins","DevOps","Development Efficiency","starter","CDK","Production Ready","Production Ready","Python","N/A","Python/Flask/Django","High ($10K+)","Full-day Setup (4-8 hours)","High","Developers","Infrastructure","Medium","Low","High","Highly popular community solution (5496+ stars)","Recently Updated","2","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:20:38.172362"
"aws-samples/aws-serverless-workshops","https://github.com/aws-samples/aws-serverless-workshops","Code and walkthrough labs to set up serverless applications for Wild Rydes workshops","2016-11-22T22:47:29Z","2025-10-21T05:01:59Z","4251","2644","API Gateway; Athena; CodeBuild; CodeCommit; CodePipeline","aws; lambda; serverless; tutorial","Foundation Builders","Analytics","Development Efficiency","foundation","Manual","Production Ready","Production Ready","JavaScript","N/A","Node.js/React","Medium ($1K-10K)","Half-day Setup (1-4 hours)","High","Developers","Infrastructure","Medium","Low","High","Popular community solution (4251+ stars)","Recently Updated","5","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:20:38.625663"
"aws-samples/aws-workshop-for-kubernetes","https://github.com/aws-samples/aws-workshop-for-kubernetes","AWS Workshop for Kubernetes","2017-07-28T17:19:40Z","2025-10-24T06:46:40Z","2695","1093","EC2; EKS; S3","amazon-web-services; aws; cloudnative; cncf; containers; kubernetes","Foundation Builders","General Development","Development Efficiency","foundation","Manual","Production Ready","Production Ready","Shell","N/A","Standard","Medium ($1K-10K)","Half-day Setup (1-4 hours)","High","Developers","Infrastructure","Medium","Low","High","Popular community solution (2695+ stars)","Recently Updated","2","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:20:38.932715"
"aws-samples/aws-machine-learning-university-accelerated-nlp","https://github.com/aws-samples/aws-machine-learning-university-accelerated-nlp","Machine Learning University: Accelerated Natural Language Processing Class","2020-08-07T00:40:22Z","2025-10-22T10:50:12Z","2428","633","SageMaker","deep-learning; gluon; machine-learning; mxnet; natural-language-processing; python; sklearn","Innovation Catalysts","AI/ML","Development Efficiency","foundation","Manual","Production Ready","Production Ready","Jupyter Notebook","N/A","Standard","Medium ($1K-10K)","Half-day Setup (1-4 hours)","High","Developers","Infrastructure","Medium","Low","High","Popular community solution (2428+ stars)","Recently Updated","4","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:20:39.270280"
"aws-samples/aws-serverless-airline-booking","https://github.com/aws-samples/aws-serverless-airline-booking","Airline Booking is a sample web application that provides Flight Search; Flight Payment; Flight Booking and Loyalty points including end-to-end testing; GraphQL and CI/CD. This web application was the theme of Build on Serverless Season 2 on AWS Twitch running from April 24th until end of August in 2019.","2019-04-15T20:34:33Z","2025-10-18T03:24:16Z","2291","1333","Cognito; DynamoDB; Lambda; SNS; Step Functions","airline-booking; aws; aws-lambda; aws-lambda-node; aws-lambda-python; graphql; lambda; lambda-functions; python; sam; serverless; tracing; typescript","Innovation Catalysts","Security","Development Efficiency","foundation","Manual","Production Ready","Production Ready","Multiple","N/A","Standard","Medium ($1K-10K)","Half-day Setup (1-4 hours)","High","Developers","Infrastructure","Medium","Low","High","Popular community solution (2291+ stars)","Recently Updated","8","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:20:39.625351"
"aws-samples/amazon-bedrock-workshop","https://github.com/aws-samples/amazon-bedrock-workshop","This is a workshop designed for Amazon Bedrock a foundational model service.","2023-07-13T18:04:49Z","2025-10-22T20:25:16Z","1992","848","Bedrock","","Innovation Catalysts","AI/ML","Development Efficiency","foundation","Manual","Production Ready","Production Ready","Jupyter Notebook","N/A","Standard","Medium ($1K-10K)","Half-day Setup (1-4 hours)","High","Developers","Infrastructure","Medium","Low","High","Popular community solution (1992+ stars)","Recently Updated","3","Yes","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:20:41.877882"
"aws-samples/serverless-patterns","https://github.com/aws-samples/serverless-patterns","Serverless patterns. Learn more at the website: https://serverlessland.com/patterns.","2021-02-12T13:09:41Z","2025-10-21T14:04:25Z","1752","1005","Lambda","aws; awssam; serverless","Foundation Builders","General Development","Development Efficiency","foundation","Manual","Production Ready","Production Ready","Python","N/A","Python/Flask/Django","Medium ($1K-10K)","Half-day Setup (1-4 hours)","High","Developers","Infrastructure","Medium","Low","High","Popular community solution (1752+ stars)","Recently Updated","4","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:20:42.221293"
"aws-samples/ecs-refarch-cloudformation","https://github.com/aws-samples/ecs-refarch-cloudformation","A reference architecture for deploying containerized microservices with Amazon ECS and AWS CloudFormation (YAML)","2016-09-07T19:05:59Z","2025-10-19T20:54:07Z","1709","1329","CloudFormation; CodeBuild; EC2; ECS; S3","","Innovation Catalysts","DevOps","Development Efficiency","foundation","CloudFormation","Production Ready","Production Ready","Makefile","N/A","Standard","Medium ($1K-10K)","Half-day Setup (1-4 hours)","High","Developers","Infrastructure","Medium","Low","High","Popular community solution (1709+ stars)","Recently Updated","6","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:20:43.008781"
"aws-samples/aws-machine-learning-university-accelerated-cv","https://github.com/aws-samples/aws-machine-learning-university-accelerated-cv","Machine Learning University: Accelerated Computer Vision Class","2020-07-29T22:17:04Z","2025-10-22T10:50:12Z","1605","369","SageMaker","computer-vision; deep-learning; gluon; gluoncv; machine-learning; mxnet; python","Innovation Catalysts","AI/ML","Development Efficiency","foundation","Manual","Production Ready","Production Ready","Jupyter Notebook","N/A","Standard","Medium ($1K-10K)","Half-day Setup (1-4 hours)","High","Developers","Infrastructure","Medium","Low","High","Popular community solution (1605+ stars)","Recently Updated","4","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:20:43.339388"
"aws-samples/lambda-refarch-webapp","https://github.com/aws-samples/lambda-refarch-webapp","The Web Application reference architecture is a general-purpose; event-driven; web application back-end that uses AWS Lambda; Amazon API Gateway for its business logic. It also uses Amazon DynamoDB as its database and Amazon Cognito for user management. All static content is hosted using AWS Amplify Console.","2015-09-27T09:39:29Z","2025-10-18T07:41:28Z","1598","915","API Gateway; Cognito; DynamoDB; Lambda","amplify; aws; aws-lambda; dynamodb; lambda; serverless","Foundation Builders","Security","Development Efficiency","foundation","Manual","Production Ready","Production Ready","JavaScript","N/A","Node.js/React","Medium ($1K-10K)","Half-day Setup (1-4 hours)","High","Developers","Infrastructure","Medium","Low","High","Popular community solution (1598+ stars)","Recently Updated","8","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:20:43.875002"
