repository,solution_type,competency,customer_problems,solution_marketing,primary_language,secondary_language,aws_services,deployment_tools,cost_range,setup_time,business_value,target_audience,use_case_category,integration_complexity,maintenance_level,scalability,usp,freshness_status,days_since_update,agentic_capabilities
aws-samples/java-meme-generator-sample,Foundation Builders,DevOps,Development Efficiency,starter,Java,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (55 stars),Recently Updated,30,None
aws-samples/opsworks-example-cookbooks,Foundation Builders,DevOps,Development Efficiency,starter,Ruby,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (98 stars),Recently Updated,30,None
aws-samples/opsworks-demo-php-simple-app,Foundation Builders,DevOps,Development Efficiency,starter,PHP,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (44 stars),Recently Updated,30,None
aws-samples/opsworks-demo-php-photo-share-app,Foundation Builders,DevOps,Development Efficiency,starter,PHP,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (15 stars),Older,30,None
aws-samples/aws-dynamodb-examples,Foundation Builders,DevOps,Development Efficiency,starter,TypeScript,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (585 stars),Recently Updated,30,None
aws-samples/aws-mobile-sample-wif,Foundation Builders,DevOps,Development Efficiency,starter,Java,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (3 stars),Older,30,None
aws-samples/eb-python-flask,Foundation Builders,DevOps,Development Efficiency,starter,Python,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (37 stars),Recently Updated,30,None
aws-samples/eb-node-express,Foundation Builders,DevOps,Development Efficiency,starter,JavaScript,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (7 stars),Recently Updated,30,None
aws-samples/aws-ruby-sample,Foundation Builders,DevOps,Development Efficiency,starter,Ruby,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (32 stars),Older,30,None
aws-samples/aws-java-sample,Foundation Builders,DevOps,Development Efficiency,starter,Java,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (237 stars),Recently Updated,30,None
aws-samples/aws-php-sample,Foundation Builders,DevOps,Development Efficiency,starter,PHP,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (88 stars),Recently Updated,30,None
aws-samples/aws-nodejs-sample,Foundation Builders,DevOps,Development Efficiency,starter,JavaScript,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (307 stars),Recently Updated,30,None
aws-samples/aws-python-sample,Foundation Builders,DevOps,Development Efficiency,starter,Python,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (207 stars),Recently Updated,30,None
aws-samples/emr-bootstrap-actions,Foundation Builders,DevOps,Development Efficiency,starter,Shell,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (613 stars),Recently Updated,30,None
aws-samples/aws-cfn-custom-resource-examples,Foundation Builders,DevOps,Development Efficiency,starter,Python,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (86 stars),Recently Updated,30,None
aws-samples/eb-py-flask-signup,Foundation Builders,DevOps,Development Efficiency,starter,HTML,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (266 stars),Recently Updated,30,None
aws-samples/aws-auto-scaling-console-sample,Foundation Builders,DevOps,Development Efficiency,starter,C#,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (22 stars),Recently Updated,30,None
aws-samples/reinvent2013-js-blog-demo,Foundation Builders,DevOps,Development Efficiency,starter,JavaScript,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (30 stars),Older,30,None
aws-samples/opsworks-demo-rails-photo-share-app,Foundation Builders,DevOps,Development Efficiency,starter,Ruby,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (14 stars),Recently Updated,30,None
aws-samples/reinvent2013-mobile-photo-share,Foundation Builders,DevOps,Development Efficiency,starter,Java,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (23 stars),Older,30,None
aws-samples/eb-py-flask-signup-worker,Foundation Builders,DevOps,Development Efficiency,starter,Python,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (44 stars),Older,30,None
aws-samples/kinesis-poster-worker,Foundation Builders,DevOps,Development Efficiency,starter,Python,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (69 stars),Recently Updated,30,None
aws-samples/eb-node-express-signup,Foundation Builders,DevOps,Development Efficiency,starter,HTML,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (77 stars),Recently Updated,30,None
aws-samples/eb-demo-php-simple-app,Foundation Builders,DevOps,Development Efficiency,starter,PHP,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (148 stars),Recently Updated,30,None
aws-samples/aws-flow-ruby-samples,Foundation Builders,DevOps,Development Efficiency,starter,Ruby,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (66 stars),Recently Updated,30,None
aws-samples/opsworks-elasticsearch-cookbook,Foundation Builders,DevOps,Development Efficiency,starter,Ruby,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (35 stars),Recently Updated,30,None
aws-samples/opsworks-attribute-customization,Foundation Builders,DevOps,Development Efficiency,starter,Ruby,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (4 stars),Older,30,None
aws-samples/mqtt-kinesis-bridge,Foundation Builders,DevOps,Development Efficiency,starter,Python,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (41 stars),Older,30,None
aws-samples/eb-wif-sample,Foundation Builders,DevOps,Development Efficiency,starter,HTML,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (17 stars),Recently Updated,30,None
aws-samples/aws-big-data-blog,Foundation Builders,DevOps,Development Efficiency,starter,Java,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (896 stars),Recently Updated,30,None
aws-samples/opsworks-cloudwatch-logs-cookbooks,Foundation Builders,DevOps,Development Efficiency,starter,HTML,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (9 stars),Recently Updated,30,None
aws-samples/aws-flow-ruby-opsworks-helloworld,Foundation Builders,DevOps,Development Efficiency,starter,Ruby,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (6 stars),Recently Updated,30,None
aws-samples/todo-sample-app-cookbooks,Foundation Builders,DevOps,Development Efficiency,starter,HTML,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (4 stars),Recently Updated,30,None
aws-samples/aws-mobile-self-paced-labs-samples,Foundation Builders,DevOps,Development Efficiency,starter,Java,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (15 stars),Older,30,None
aws-samples/reinvent2014-scalable-site-management,Foundation Builders,DevOps,Development Efficiency,starter,Python,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (53 stars),Recently Updated,30,None
aws-samples/aws-sdk-js-sample-video-transcoder,Foundation Builders,DevOps,Development Efficiency,starter,JavaScript,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (22 stars),Older,30,None
aws-samples/aws-codedeploy-samples,Foundation Builders,DevOps,Development Efficiency,starter,Shell,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (639 stars),Recently Updated,30,None
aws-samples/aws-sdk-unity-samples,Foundation Builders,DevOps,Development Efficiency,starter,C#,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (164 stars),Recently Updated,30,None
aws-samples/amazon-cognito-developer-authentication-sample,Foundation Builders,DevOps,Development Efficiency,starter,Java,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (101 stars),Recently Updated,30,None
aws-samples/aws-arch-backoff-simulator,Foundation Builders,DevOps,Development Efficiency,starter,Python,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (255 stars),Recently Updated,30,None
aws-samples/py-flask-signup-docker,Foundation Builders,DevOps,Development Efficiency,starter,HTML,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (79 stars),Recently Updated,30,None
aws-samples/ecs-demo-php-simple-app,Foundation Builders,DevOps,Development Efficiency,starter,HTML,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (174 stars),Recently Updated,30,None
aws-samples/eb-docker-virtual-hosting,Foundation Builders,DevOps,Development Efficiency,starter,HTML,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (30 stars),Older,30,None
